size,clauses,time_lumping,kappa,time_iteration,memory (MB),formula
5,9,0.0028994083404541016,1,5.626678466796875e-05,0.02935791015625,[(x_3 v -x_0) ^ (x_2 v -x_0) ^ (x_0 v x_4 v x_2) ^ (x_0 v -x_3) ^ (x_3 v x_2) ^ (x_3 v x_0) ^ (x_0 v -x_1 v -x_2) ^ (x_4 v -x_3) ^ (x_3 v x_4)]
5,13,0.0045506954193115234,6,7.081031799316406e-05,0.014788627624511719,[(-x_1 v -x_4 v x_3) ^ (x_2 v -x_0) ^ (x_3 v -x_2 v x_4) ^ (x_1 v -x_2 v -x_3) ^ (x_0 v -x_1 v x_4) ^ (x_3 v x_2 v -x_0) ^ (x_1 v x_4 v -x_0) ^ (x_1 v -x_4) ^ (x_3 v -x_4 v -x_0) ^ (-x_0 v -x_2 v -x_3) ^ (x_0 v x_2 v -x_3) ^ (x_4 v x_2) ^ (x_0 v x_1 v -x_3)]
5,9,0.0027086734771728516,1,0.00012111663818359375,0.02686309814453125,[(x_1 v x_4 v x_2) ^ (x_2 v -x_3) ^ (-x_1 v -x_4 v -x_0) ^ (x_0 v -x_4 v -x_2) ^ (x_0 v -x_2 v x_3) ^ (x_3 v x_1 v x_0) ^ (-x_0 v -x_2 v x_4) ^ (x_0 v x_2) ^ (-x_2 v -x_3)]
5,8,0.0023393630981445312,6,4.5299530029296875e-05,0.01652050018310547,[(x_2 v -x_0) ^ (x_0 v -x_2) ^ (x_2 v -x_3) ^ (-x_4 v x_2 v -x_0) ^ (-x_4 v -x_0) ^ (x_1 v x_4 v -x_0) ^ (x_1 v -x_4 v x_2) ^ (x_0 v -x_2 v x_3)]
5,11,0.0036809444427490234,1,4.1961669921875e-05,0.02901458740234375,[(x_1 v -x_3 v -x_0) ^ (x_1 v -x_4 v -x_2) ^ (x_0 v x_4 v -x_3) ^ (x_0 v x_4) ^ (x_1 v -x_3) ^ (x_1 v -x_4) ^ (x_3 v -x_4 v -x_0) ^ (x_0 v x_1 v x_4) ^ (-x_1 v -x_4 v -x_3) ^ (x_0 v -x_4) ^ (-x_1 v x_4 v x_3)]
5,13,0.0030846595764160156,6,8.344650268554688e-05,0.015299797058105469,[(x_3 v x_4 v x_2) ^ (-x_2 v -x_0) ^ (x_1 v -x_3) ^ (-x_4 v -x_0) ^ (x_3 v x_4 v x_0) ^ (x_3 v -x_4) ^ (-x_4 v -x_2 v -x_3) ^ (x_0 v x_4 v -x_2) ^ (-x_1 v x_4 v x_2) ^ (-x_1 v x_2 v -x_0) ^ (x_3 v -x_1 v -x_2) ^ (-x_1 v -x_2 v x_4) ^ (x_4 v x_2)]
5,13,0.00416111946105957,1,4.1484832763671875e-05,0.03306102752685547,[(-x_1 v -x_3) ^ (-x_0 v -x_3) ^ (-x_1 v -x_3 v -x_0) ^ (x_0 v -x_2 v x_4) ^ (-x_4 v -x_2 v -x_0) ^ (-x_4 v x_2 v -x_3) ^ (x_1 v x_2) ^ (x_0 v -x_4 v -x_3) ^ (x_0 v x_1 v -x_2) ^ (-x_1 v -x_4 v x_2) ^ (-x_4 v x_2) ^ (-x_0 v -x_4 v -x_3) ^ (x_1 v x_4 v -x_3)]
5,6,0.0020971298217773438,6,0.00011420249938964844,0.012786865234375,[(x_3 v -x_4) ^ (-x_1 v -x_4) ^ (-x_1 v x_2 v -x_0) ^ (x_1 v x_2 v -x_3) ^ (x_0 v -x_4) ^ (x_0 v x_1 v x_4)]
5,10,0.0029752254486083984,1,4.100799560546875e-05,0.02962493896484375,[(-x_2 v -x_0) ^ (-x_1 v -x_2 v x_0) ^ (x_0 v -x_3) ^ (x_3 v x_1 v -x_4) ^ (-x_1 v -x_2 v -x_3) ^ (x_1 v x_2) ^ (x_1 v -x_4 v x_2) ^ (x_1 v x_2 v -x_3) ^ (x_0 v -x_2 v x_3) ^ (-x_1 v x_4 v x_3)]
5,11,0.004423856735229492,6,6.365776062011719e-05,0.014788627624511719,[(x_3 v x_4 v x_2) ^ (x_1 v -x_4 v -x_0) ^ (x_3 v -x_2) ^ (-x_1 v x_2 v -x_3) ^ (-x_1 v -x_2 v -x_3) ^ (-x_0 v -x_2 v -x_3) ^ (-x_1 v x_2 v -x_0) ^ (-x_1 v x_3) ^ (-x_1 v x_3 v x_0) ^ (x_3 v x_4) ^ (x_3 v -x_4 v -x_2)]
