size,kappa,time_iteration,memory (MB),gate
5,1,0.08787751197814941,1.0591812133789062,Grover over Toffoli with 5 q-bits
5,6,0.05156564712524414,0.213348388671875,Grover over Toffoli with 5 q-bits
6,1,0.04384636878967285,0.13709545135498047,Grover over Toffoli with 6 q-bits
6,8,0.05505204200744629,0.2585029602050781,Grover over Toffoli with 6 q-bits
7,1,0.03859066963195801,0.13521480560302734,Grover over Toffoli with 7 q-bits
7,12,0.08021283149719238,0.3752145767211914,Grover over Toffoli with 7 q-bits
8,1,0.045853376388549805,0.1423797607421875,Grover over Toffoli with 8 q-bits
8,16,0.08130335807800293,0.3952445983886719,Grover over Toffoli with 8 q-bits
9,1,0.043137550354003906,0.14159870147705078,Grover over Toffoli with 9 q-bits
9,23,0.0947272777557373,0.5454692840576172,Grover over Toffoli with 9 q-bits
10,1,0.04179048538208008,0.1460094451904297,Grover over Toffoli with 10 q-bits
10,32,0.12703299522399902,0.7559614181518555,Grover over Toffoli with 10 q-bits
11,1,0.047423362731933594,0.1532602310180664,Grover over Toffoli with 11 q-bits
11,46,0.19730496406555176,1.0986213684082031,Grover over Toffoli with 11 q-bits
12,1,0.04194927215576172,0.14956951141357422,Grover over Toffoli with 12 q-bits
12,64,0.2726109027862549,1.662724494934082,Grover over Toffoli with 12 q-bits
13,1,0.04443931579589844,0.15633106231689453,Grover over Toffoli with 13 q-bits
13,91,0.46918749809265137,2.377714157104492,Grover over Toffoli with 13 q-bits
14,1,0.04344820976257324,0.1624317169189453,Grover over Toffoli with 14 q-bits
14,128,0.6327764987945557,3.4323787689208984,Grover over Toffoli with 14 q-bits
15,1,0.05143404006958008,0.16660594940185547,Grover over Toffoli with 15 q-bits
15,182,0.8193695545196533,5.074919700622559,Grover over Toffoli with 15 q-bits
5,1,0.07288289070129395,1.061187744140625,Grover over Toffoli with 5 q-bits
5,6,0.04921412467956543,0.20852088928222656,Grover over Toffoli with 5 q-bits
6,1,0.04138660430908203,0.13891315460205078,Grover over Toffoli with 6 q-bits
6,8,0.05454897880554199,0.25754737854003906,Grover over Toffoli with 6 q-bits
7,1,0.043335914611816406,0.13539695739746094,Grover over Toffoli with 7 q-bits
7,12,0.06093144416809082,0.37637996673583984,Grover over Toffoli with 7 q-bits
8,1,0.039449453353881836,0.14260005950927734,Grover over Toffoli with 8 q-bits
8,16,0.07496094703674316,0.3927803039550781,Grover over Toffoli with 8 q-bits
9,1,0.042757272720336914,0.1412057876586914,Grover over Toffoli with 9 q-bits
9,23,0.09252309799194336,0.54754638671875,Grover over Toffoli with 9 q-bits
10,1,0.042127370834350586,0.14304161071777344,Grover over Toffoli with 10 q-bits
10,32,0.13057613372802734,0.7520685195922852,Grover over Toffoli with 10 q-bits
11,1,0.045248985290527344,0.1486949920654297,Grover over Toffoli with 11 q-bits
11,46,0.1840190887451172,1.0981130599975586,Grover over Toffoli with 11 q-bits
12,1,0.03845787048339844,0.1522226333618164,Grover over Toffoli with 12 q-bits
12,64,0.25014638900756836,1.659104347229004,Grover over Toffoli with 12 q-bits
13,1,0.04021596908569336,0.15854263305664062,Grover over Toffoli with 13 q-bits
13,91,0.45014262199401855,2.3836402893066406,Grover over Toffoli with 13 q-bits
14,1,0.041481733322143555,0.16077518463134766,Grover over Toffoli with 14 q-bits
14,128,0.6391539573669434,3.4376068115234375,Grover over Toffoli with 14 q-bits
15,1,0.04726433753967285,0.16527366638183594,Grover over Toffoli with 15 q-bits
15,182,0.8195464611053467,5.068007469177246,Grover over Toffoli with 15 q-bits
5,1,0.06429791450500488,1.0584173202514648,Grover over Toffoli with 5 q-bits
5,6,0.053665876388549805,0.2133646011352539,Grover over Toffoli with 5 q-bits
6,1,0.0439913272857666,0.13843727111816406,Grover over Toffoli with 6 q-bits
6,8,0.054088592529296875,0.2540454864501953,Grover over Toffoli with 6 q-bits
7,1,0.043997764587402344,0.13666057586669922,Grover over Toffoli with 7 q-bits
